1;4;1000;1;false;true;false
1;0;0;0;0;0;2
2;1;0;0;0;1;1
1;2;0;0;0;2;3
3;3;0;0;0;1;3
3;4;0;0;0;3;3
3;5;0;0;0;3;4
4;6;0;0;0;3;3
3;7;0;0;0;4;2
2;8;0;0;0;3;3
3;9;0;0;0;2;4
4;10;0;0;0;3;3
3;11;0;0;0;4;3
3;12;0;0;0;3;4
4;13;0;0;0;3;3
3;14;0;0;0;4;2
2;15;0;0;0;3;3
3;16;0;0;0;2;3
3;17;0;0;0;3;4
4;18;0;0;0;3;1
1;19;0;0;0;4;1
1;20;0;0;0;1;2
2;21;0;0;0;1;2
2;22;0;0;0;2;3
3;23;0;0;0;2;4
4;24;0;0;0;3;4
4;25;0;0;0;4;1
1;26;0;0;0;4;2
2;27;0;0;0;1;4
4;28;0;0;0;2;2
2;29;0;0;0;4;4
4;30;0;0;0;2;1
1;31;0;0;0;4;1
1;32;0;0;0;1;1
1;33;0;0;0;1;1
1;34;0;0;0;1;4
4;35;0;0;0;1;4
4;36;0;0;0;4;4
4;37;0;0;0;4;2
2;38;0;0;0;4;3
3;39;0;0;0;2;1
1;40;0;0;0;3;3
3;41;0;0;0;1;4
4;42;0;0;0;3;2
2;43;0;0;0;4;3
3;44;0;0;0;2;1
1;45;0;0;0;3;3
3;46;0;0;0;1;1
1;47;0;0;0;3;2
2;48;0;0;0;1;3
3;49;0;0;0;2;1
1;50;0;0;0;3;1
1;51;0;0;0;1;2
2;52;0;0;0;1;1
1;53;0;0;0;2;2
2;54;0;0;0;1;2
2;55;0;0;0;2;3
3;56;0;0;0;2;2
2;57;0;0;0;3;4
4;58;0;0;0;2;4
4;59;0;0;0;4;3
3;60;0;0;0;4;1
1;61;0;0;0;3;1
1;62;0;0;0;1;4
4;63;0;0;0;1;3
3;64;0;0;0;4;2
2;65;0;0;0;3;1
1;66;0;0;0;2;2
2;67;0;0;0;1;1
1;68;0;0;0;2;2
2;69;0;0;0;1;1
1;70;0;0;0;2;2
2;71;0;0;0;1;1
1;72;0;0;0;2;2
2;73;0;0;0;1;2
2;74;0;0;0;2;2
2;75;0;0;0;2;3
3;76;0;0;0;2;2
2;77;0;0;0;3;3
3;78;0;0;0;2;1
1;79;0;0;0;3;1
1;80;0;0;0;1;4
4;81;0;0;0;1;1
1;82;0;0;0;4;1
1;83;0;0;0;1;1
1;84;0;0;0;1;4
4;85;0;0;0;1;4
4;86;0;0;0;4;3
3;87;0;0;0;4;4
4;88;0;0;0;3;2
2;89;0;0;0;4;4
4;90;0;0;0;2;1
1;91;0;0;0;4;1
1;92;0;0;0;1;2
2;93;0;0;0;1;3
3;94;0;0;0;2;2
2;95;0;0;0;3;2
2;96;0;0;0;2;1
1;97;0;0;0;2;1
1;98;0;0;0;1;1
1;99;0;0;0;1;3
3;100;0;0;0;1;3
3;101;0;0;0;3;3
3;102;0;0;0;3;3
3;103;0;0;0;3;3
3;104;0;0;0;3;4
4;105;0;0;0;3;4
4;106;0;0;0;4;1
1;107;0;0;0;4;4
4;108;0;0;0;1;4
4;109;0;0;0;4;1
1;110;0;0;0;4;3
3;111;0;0;0;1;3
3;112;0;0;0;3;4
4;113;0;0;0;3;2
2;114;0;0;0;4;1
1;115;0;0;0;2;2
2;116;0;0;0;1;1
1;117;0;0;0;2;4
4;118;0;0;0;1;3
3;119;0;0;0;4;2
2;120;0;0;0;3;4
4;121;0;0;0;2;2
2;122;0;0;0;4;3
3;123;0;0;0;2;3
3;124;0;0;0;3;2
2;125;0;0;0;3;3
3;126;0;0;0;2;3
3;127;0;0;0;3;3
3;128;0;0;0;3;2
2;129;0;0;0;3;1
1;130;0;0;0;2;2
2;131;0;0;0;1;4
4;132;0;0;0;2;4
4;133;0;0;0;4;1
1;134;0;0;0;4;1
1;135;0;0;0;1;4
4;136;0;0;0;1;4
4;137;0;0;0;4;4
4;138;0;0;0;4;1
1;139;0;0;0;4;3
3;140;0;0;0;1;2
2;141;0;0;0;3;2
2;142;0;0;0;2;3
3;143;0;0;0;2;1
1;144;0;0;0;3;4
4;145;0;0;0;1;4
4;146;0;0;0;4;3
3;147;0;0;0;4;2
2;148;0;0;0;3;3
3;149;0;0;0;2;1
1;150;0;0;0;3;3
3;151;0;0;0;1;1
1;152;0;0;0;3;1
1;153;0;0;0;1;1
1;154;0;0;0;1;4
4;155;0;0;0;1;1
1;156;0;0;0;4;4
4;157;0;0;0;1;2
2;158;0;0;0;4;4
4;159;0;0;0;2;1
1;160;0;0;0;4;2
2;161;0;0;0;1;1
1;162;0;0;0;2;1
1;163;0;0;0;1;2
2;164;0;0;0;1;3
3;165;0;0;0;2;3
3;166;0;0;0;3;3
3;167;0;0;0;3;2
2;168;0;0;0;3;4
4;169;0;0;0;2;4
4;170;0;0;0;4;3
3;171;0;0;0;4;3
3;172;0;0;0;3;2
2;173;0;0;0;3;1
1;174;0;0;0;2;4
4;175;0;0;0;1;4
4;176;0;0;0;4;4
4;177;0;0;0;4;3
3;178;0;0;0;4;1
1;179;0;0;0;3;1
1;180;0;0;0;1;1
1;181;0;0;0;1;2
2;182;0;0;0;1;3
3;183;0;0;0;2;1
1;184;0;0;0;3;4
4;185;0;0;0;1;4
4;186;0;0;0;4;3
3;187;0;0;0;4;3
3;188;0;0;0;3;1
1;189;0;0;0;3;1
1;190;0;0;0;1;2
2;191;0;0;0;1;2
2;192;0;0;0;2;2
2;193;0;0;0;2;1
1;194;0;0;0;2;4
4;195;0;0;0;1;3
3;196;0;0;0;4;3
3;197;0;0;0;3;1
1;198;0;0;0;3;3
3;199;0;0;0;1;3
3;200;0;0;0;3;4
4;201;0;0;0;3;3
3;202;0;0;0;4;1
1;203;0;0;0;3;1
1;204;0;0;0;1;2
2;205;0;0;0;1;4
4;206;0;0;0;2;1
1;207;0;0;0;4;3
3;208;0;0;0;1;3
3;209;0;0;0;3;4
4;210;0;0;0;3;3
3;211;0;0;0;4;4
4;212;0;0;0;3;2
2;213;0;0;0;4;3
3;214;0;0;0;2;1
1;215;0;0;0;3;3
3;216;0;0;0;1;4
4;217;0;0;0;3;3
3;218;0;0;0;4;2
2;219;0;0;0;3;4
4;220;0;0;0;2;4
4;221;0;0;0;4;3
3;222;0;0;0;4;3
3;223;0;0;0;3;2
2;224;0;0;0;3;3
3;225;0;0;0;2;2
2;226;0;0;0;3;3
3;227;0;0;0;2;4
4;228;0;0;0;3;3
3;229;0;0;0;4;2
2;230;0;0;0;3;3
3;231;0;0;0;2;2
2;232;0;0;0;3;2
2;233;0;0;0;2;1
1;234;0;0;0;2;4
4;235;0;0;0;1;2
2;236;0;0;0;4;1
1;237;0;0;0;2;3
3;238;0;0;0;1;1
1;239;0;0;0;3;4
4;240;0;0;0;1;4
