2;4;30;30;false;true;false
2;0;0;0;1;0;3
1;0;1;2;3;0;3
3;0;2;1;2;0;3
2;0;3;3;1;0;1
1;0;4;2;2;0;1
2;0;5;1;1;0;4
1;0;6;2;1;0;1
1;0;7;1;3;0;2
3;0;8;1;3;0;2
3;0;9;3;1;0;2
1;0;10;3;2;0;4
2;0;11;1;3;0;2
3;0;12;2;4;0;2
4;0;13;3;1;0;4
1;0;14;4;2;0;1
2;0;15;1;1;0;3
1;0;16;2;2;0;1
2;0;17;1;3;0;3
3;0;18;2;3;0;1
3;0;19;3;3;0;2
3;0;20;3;2;0;3
2;0;21;3;2;0;4
2;0;22;2;4;0;2
4;0;23;2;3;0;2
3;0;24;4;3;0;2
3;0;25;3;4;0;3
4;0;26;3;3;0;2
3;0;27;4;4;0;4
4;0;28;3;4;0;3
4;0;29;4;0;0;1
3;1;0;0;3;2;1
3;1;1;3;3;1;4
3;1;2;3;1;3;1
1;1;3;3;1;2;3
1;1;4;1;4;1;4
4;1;5;1;1;2;2
1;1;6;4;2;1;1
2;1;7;1;2;1;4
2;1;8;2;2;3;2
2;1;9;2;4;3;4
4;1;10;2;2;1;4
2;1;11;4;2;2;1
2;1;12;2;4;3;3
4;1;13;2;1;4;2
1;1;14;4;3;1;4
3;1;15;1;1;2;4
1;1;16;3;3;1;4
3;1;17;1;1;2;1
1;1;18;3;2;3;2
2;1;19;1;3;3;4
3;1;20;2;4;3;2
4;1;21;3;2;2;2
2;1;22;4;2;2;2
2;1;23;2;2;4;1
2;1;24;2;3;3;4
3;1;25;2;2;3;2
2;1;26;3;4;4;1
4;1;27;2;3;3;2
3;1;28;4;1;4;2
1;1;29;3;0;4;3
1;2;0;0;4;3;4
4;2;1;1;1;3;2
1;2;2;4;3;3;1
3;2;3;1;4;1;4
4;2;4;3;2;1;4
2;2;5;4;1;4;3
1;2;6;2;4;1;2
4;2;7;1;2;2;4
2;2;8;4;4;2;4
4;2;9;2;4;2;4
4;2;10;4;1;4;3
1;2;11;4;3;2;4
3;2;12;1;2;2;1
2;2;13;3;4;4;4
4;2;14;2;4;1;3
4;2;15;4;4;3;4
4;2;16;4;1;1;1
1;2;17;4;2;3;2
2;2;18;1;4;1;3
4;2;19;2;2;2;4
2;2;20;4;2;3;3
2;2;21;2;2;4;2
2;2;22;2;1;2;3
1;2;23;2;4;2;3
4;2;24;1;2;2;4
2;2;25;4;1;3;3
1;2;26;2;2;2;4
2;2;27;1;2;4;3
2;2;28;2;3;3;1
3;2;29;2;0;1;3
4;3;0;0;2;1;1
2;3;1;4;1;4;2
1;3;2;2;4;1;1
4;3;3;1;4;3;1
4;3;4;4;3;4;2
3;3;5;4;2;2;4
2;3;6;3;4;1;1
4;3;7;2;4;4;4
