2;4;10;90;false;true;false
4;0;0;0;4;0;1
4;0;1;4;4;0;2
4;0;2;4;3;0;3
3;0;3;4;3;0;3
3;0;4;3;1;0;2
1;0;5;3;3;0;4
3;0;6;1;2;0;3
2;0;7;3;3;0;4
3;0;8;2;3;0;4
3;0;9;3;2;0;4
2;0;10;3;3;0;3
3;0;11;2;1;0;2
1;0;12;3;2;0;1
2;0;13;1;1;0;2
1;0;14;2;2;0;2
2;0;15;1;4;0;1
4;0;16;2;1;0;3
1;0;17;4;4;0;1
4;0;18;1;1;0;4
1;0;19;4;4;0;2
4;0;20;1;1;0;2
1;0;21;4;1;0;3
1;0;22;1;3;0;3
3;0;23;1;1;0;3
1;0;24;3;3;0;3
3;0;25;1;2;0;3
2;0;26;3;1;0;1
1;0;27;2;1;0;2
1;0;28;1;4;0;1
4;0;29;1;2;0;2
2;0;30;4;2;0;2
2;0;31;2;4;0;3
4;0;32;2;1;0;1
1;0;33;4;1;0;1
1;0;34;1;4;0;4
4;0;35;1;1;0;4
1;0;36;4;3;0;2
3;0;37;1;4;0;2
4;0;38;3;4;0;2
4;0;39;4;2;0;2
2;0;40;4;2;0;3
2;0;41;2;4;0;3
4;0;42;2;4;0;3
4;0;43;4;1;0;3
1;0;44;4;2;0;3
2;0;45;1;3;0;3
3;0;46;2;4;0;2
4;0;47;3;4;0;4
4;0;48;4;2;0;2
2;0;49;4;1;0;3
1;0;50;2;1;0;1
1;0;51;1;3;0;1
3;0;52;1;2;0;1
2;0;53;3;4;0;4
4;0;54;2;4;0;4
4;0;55;4;1;0;4
1;0;56;4;3;0;2
3;0;57;1;1;0;2
1;0;58;3;4;0;2
4;0;59;1;2;0;3
2;0;60;4;1;0;1
1;0;61;2;2;0;4
2;0;62;1;3;0;1
3;0;63;2;4;0;2
4;0;64;3;2;0;1
2;0;65;4;1;0;3
1;0;66;2;1;0;2
1;0;67;1;4;0;3
4;0;68;1;2;0;1
2;0;69;4;3;0;1
3;0;70;2;1;0;2
1;0;71;3;4;0;4
4;0;72;1;4;0;3
4;0;73;4;2;0;3
2;0;74;4;2;0;2
2;0;75;2;2;0;4
2;0;76;2;2;0;1
2;0;77;2;1;0;3
1;0;78;2;4;0;3
4;0;79;1;3;0;3
3;0;80;4;3;0;1
3;0;81;3;2;0;4
2;0;82;3;4;0;2
4;0;83;2;4;0;4
4;0;84;4;4;0;4
4;0;85;4;2;0;4
2;0;86;4;4;0;4
4;0;87;2;3;0;4
3;0;88;4;1;0;3
1;0;89;3;0;0;3
1;1;0;0;2;4;2
2;1;1;1;3;4;1
3;1;2;2;3;4;1
3;1;3;3;2;3;4
2;1;4;3;4;3;3
4;1;5;2;3;1;4
3;1;6;4;4;3;2
4;1;7;3;4;2;2
4;1;8;4;4;3;3
4;1;9;4;3;3;3
3;1;10;4;2;2;4
2;1;11;3;1;3;1
1;1;12;2;2;1;2
2;1;13;1;2;2;2
2;1;14;2;1;1;1
1;1;15;2;3;2;3
3;1;16;1;1;4;4
1;1;17;3;4;1;2
4;1;18;1;2;4;4
2;1;19;4;2;1;3
2;1;20;2;3;4;4
3;1;21;2;3;1;1
3;1;22;3;3;1;1
3;1;23;3;3;3;4
3;1;24;3;3;1;3
3;1;25;3;1;3;1
1;1;26;3;2;2;4
2;1;27;1;1;1;3
1;1;28;2;2;1;4
2;1;29;1;2;4;3
2;1;30;2;3;2;4
3;1;31;2;1;2;4
1;1;32;3;1;4;1
1;1;33;1;4;1;2
4;1;34;1;4;1;2
4;1;35;4;2;4;3
