1;4;100000;1;false;true;false
3;0;0;0;0;0;2
2;1;0;0;0;3;4
4;2;0;0;0;2;1
1;3;0;0;0;4;1
1;4;0;0;0;1;2
2;5;0;0;0;1;2
2;6;0;0;0;2;4
4;7;0;0;0;2;2
2;8;0;0;0;4;3
3;9;0;0;0;2;4
4;10;0;0;0;3;1
1;11;0;0;0;4;3
3;12;0;0;0;1;2
2;13;0;0;0;3;2
2;14;0;0;0;2;4
4;15;0;0;0;2;3
3;16;0;0;0;4;1
1;17;0;0;0;3;4
4;18;0;0;0;1;2
2;19;0;0;0;4;2
2;20;0;0;0;2;1
1;21;0;0;0;2;2
2;22;0;0;0;1;4
4;23;0;0;0;2;2
2;24;0;0;0;4;2
2;25;0;0;0;2;1
1;26;0;0;0;2;1
1;27;0;0;0;1;2
2;28;0;0;0;1;3
3;29;0;0;0;2;2
2;30;0;0;0;3;2
2;31;0;0;0;2;1
1;32;0;0;0;2;2
2;33;0;0;0;1;3
3;34;0;0;0;2;4
4;35;0;0;0;3;4
4;36;0;0;0;4;2
2;37;0;0;0;4;1
1;38;0;0;0;2;1
1;39;0;0;0;1;3
3;40;0;0;0;1;4
4;41;0;0;0;3;4
4;42;0;0;0;4;1
1;43;0;0;0;4;3
3;44;0;0;0;1;3
3;45;0;0;0;3;1
1;46;0;0;0;3;2
2;47;0;0;0;1;1
1;48;0;0;0;2;2
2;49;0;0;0;1;1
1;50;0;0;0;2;4
4;51;0;0;0;1;3
3;52;0;0;0;4;4
4;53;0;0;0;3;2
2;54;0;0;0;4;4
4;55;0;0;0;2;4
4;56;0;0;0;4;3
3;57;0;0;0;4;1
1;58;0;0;0;3;4
4;59;0;0;0;1;2
2;60;0;0;0;4;4
4;61;0;0;0;2;3
3;62;0;0;0;4;3
3;63;0;0;0;3;1
1;64;0;0;0;3;4
4;65;0;0;0;1;2
2;66;0;0;0;4;1
1;67;0;0;0;2;1
1;68;0;0;0;1;4
4;69;0;0;0;1;2
2;70;0;0;0;4;2
2;71;0;0;0;2;2
2;72;0;0;0;2;4
4;73;0;0;0;2;3
3;74;0;0;0;4;2
2;75;0;0;0;3;2
2;76;0;0;0;2;2
2;77;0;0;0;2;4
4;78;0;0;0;2;4
4;79;0;0;0;4;2
2;80;0;0;0;4;4
4;81;0;0;0;2;2
2;82;0;0;0;4;1
1;83;0;0;0;2;4
4;84;0;0;0;1;3
3;85;0;0;0;4;3
3;86;0;0;0;3;4
4;87;0;0;0;3;3
3;88;0;0;0;4;3
3;89;0;0;0;3;3
3;90;0;0;0;3;2
2;91;0;0;0;3;2
2;92;0;0;0;2;1
1;93;0;0;0;2;1
1;94;0;0;0;1;2
2;95;0;0;0;1;4
4;96;0;0;0;2;4
4;97;0;0;0;4;1
1;98;0;0;0;4;3
3;99;0;0;0;1;1
1;100;0;0;0;3;4
