2;4;100;200;false;true;false
4;0;0;0;4;0;4
4;0;1;4;2;0;2
2;0;2;4;3;0;3
3;0;3;2;3;0;4
3;0;4;3;4;0;1
4;0;5;3;2;0;4
2;0;6;4;4;0;3
4;0;7;2;3;0;3
3;0;8;4;4;0;4
4;0;9;3;4;0;3
4;0;10;4;2;0;2
2;0;11;4;3;0;1
3;0;12;2;1;0;4
1;0;13;3;2;0;4
2;0;14;1;1;0;3
1;0;15;2;4;0;1
4;0;16;1;1;0;1
1;0;17;4;2;0;1
2;0;18;1;4;0;1
4;0;19;2;3;0;3
3;0;20;4;2;0;3
2;0;21;3;4;0;2
4;0;22;2;4;0;3
4;0;23;4;3;0;1
3;0;24;4;3;0;3
3;0;25;3;2;0;2
2;0;26;3;4;0;2
4;0;27;2;3;0;2
3;0;28;4;2;0;1
2;0;29;3;4;0;3
4;0;30;2;3;0;2
3;0;31;4;3;0;2
3;0;32;3;2;0;1
2;0;33;3;4;0;2
4;0;34;2;2;0;3
2;0;35;4;1;0;4
1;0;36;2;2;0;2
2;0;37;1;1;0;3
1;0;38;2;1;0;4
1;0;39;1;3;0;2
3;0;40;1;3;0;4
3;0;41;3;3;0;1
3;0;42;3;2;0;4
2;0;43;3;4;0;1
4;0;44;2;2;0;4
2;0;45;4;3;0;4
3;0;46;2;2;0;4
2;0;47;3;2;0;2
2;0;48;2;2;0;2
2;0;49;2;1;0;3
1;0;50;2;4;0;3
4;0;51;1;1;0;1
1;0;52;4;3;0;2
3;0;53;1;3;0;4
3;0;54;3;3;0;2
3;0;55;3;4;0;1
4;0;56;3;1;0;1
1;0;57;4;3;0;4
3;0;58;1;4;0;4
4;0;59;3;1;0;4
1;0;60;4;2;0;3
2;0;61;1;2;0;1
2;0;62;2;2;0;2
2;0;63;2;1;0;1
1;0;64;2;2;0;2
2;0;65;1;4;0;4
4;0;66;2;2;0;4
2;0;67;4;1;0;2
1;0;68;2;1;0;3
1;0;69;1;2;0;2
2;0;70;1;1;0;2
1;0;71;2;3;0;2
3;0;72;1;3;0;4
3;0;73;3;3;0;1
3;0;74;3;3;0;2
3;0;75;3;3;0;3
3;0;76;3;4;0;1
4;0;77;3;4;0;3
4;0;78;4;3;0;1
3;0;79;4;1;0;1
1;0;80;3;1;0;3
1;0;81;1;2;0;2
2;0;82;1;3;0;2
3;0;83;2;1;0;3
1;0;84;3;4;0;1
4;0;85;1;1;0;2
1;0;86;4;3;0;4
3;0;87;1;3;0;1
3;0;88;3;1;0;2
1;0;89;3;3;0;3
3;0;90;1;1;0;2
1;0;91;3;1;0;2
1;0;92;1;3;0;4
3;0;93;1;3;0;3
3;0;94;3;3;0;2
3;0;95;3;1;0;2
1;0;96;3;2;0;1
2;0;97;1;4;0;4
4;0;98;2;1;0;3
1;0;99;4;2;0;3
2;0;100;1;1;0;3
1;0;101;2;1;0;1
1;0;102;1;3;0;2
3;0;103;1;2;0;2
2;0;104;3;4;0;1
4;0;105;2;3;0;4
3;0;106;4;4;0;4
4;0;107;3;2;0;3
2;0;108;4;2;0;1
2;0;109;2;3;0;4
3;0;110;2;4;0;3
4;0;111;3;3;0;1
3;0;112;4;4;0;4
4;0;113;3;1;0;3
1;0;114;4;2;0;1
2;0;115;1;3;0;4
3;0;116;2;4;0;1
4;0;117;3;4;0;4
4;0;118;4;4;0;3
4;0;119;4;3;0;3
3;0;120;4;2;0;3
2;0;121;3;4;0;2
4;0;122;2;1;0;2
1;0;123;4;1;0;4
1;0;124;1;1;0;3
1;0;125;1;2;0;2
2;0;126;1;4;0;2
4;0;127;2;4;0;2
4;0;128;4;1;0;3
1;0;129;4;4;0;4
4;0;130;1;4;0;2
4;0;131;4;3;0;3
3;0;132;4;4;0;3
4;0;133;3;2;0;4
2;0;134;4;2;0;1
2;0;135;2;4;0;1
4;0;136;2;2;0;2
2;0;137;4;1;0;4
1;0;138;2;2;0;1
2;0;139;1;1;0;4
1;0;140;2;1;0;3
1;0;141;1;4;0;2
4;0;142;1;2;0;2
2;0;143;4;4;0;1
4;0;144;2;2;0;3
2;0;145;4;1;0;4
1;0;146;2;3;0;1
3;0;147;1;2;0;2
2;0;148;3;2;0;1
