2;2500;50;50;true;true;true
931;0;0;0;882;0;1746
882;0;1;931;1940;0;2049
1940;0;2;882;260;0;2365
260;0;3;1940;403;0;1962
403;0;4;260;2378;0;2125
2378;0;5;403;2315;0;1543
2315;0;6;2378;1425;0;1335
1425;0;7;2315;2151;0;2055
2151;0;8;1425;297;0;151
297;0;9;2151;996;0;932
996;0;10;297;2334;0;179
2334;0;11;996;2326;0;2063
2326;0;12;2334;111;0;27
111;0;13;2326;472;0;2425
472;0;14;111;1338;0;149
1338;0;15;472;2412;0;646
2412;0;16;1338;1001;0;1236
1001;0;17;2412;1334;0;1193
1334;0;18;1001;1061;0;1781
1061;0;19;1334;2460;0;478
2460;0;20;1061;1705;0;1371
1705;0;21;2460;2443;0;1661
2443;0;22;1705;2286;0;1818
2286;0;23;2443;80;0;696
80;0;24;2286;84;0;2327
84;0;25;80;1443;0;1184
1443;0;26;84;520;0;1045
520;0;27;1443;1058;0;1404
1058;0;28;520;1014;0;1234
1014;0;29;1058;1778;0;758
1778;0;30;1014;1534;0;433
1534;0;31;1778;1411;0;1847
1411;0;32;1534;510;0;793
510;0;33;1411;1905;0;857
1905;0;34;510;195;0;868
195;0;35;1905;2325;0;1283
2325;0;36;195;909;0;2400
909;0;37;2325;351;0;1671
351;0;38;909;698;0;1954
698;0;39;351;1420;0;2297
1420;0;40;698;610;0;119
610;0;41;1420;2485;0;189
2485;0;42;610;1487;0;427
1487;0;43;2485;943;0;1156
943;0;44;1487;913;0;1119
913;0;45;943;576;0;280
576;0;46;913;604;0;33
604;0;47;576;714;0;190
714;0;48;604;314;0;451
314;0;49;714;0;0;2300
1746;1;0;0;2049;931;1094
2049;1;1;1746;2365;882;1908
2365;1;2;2049;1962;1940;606
1962;1;3;2365;2125;260;1000
2125;1;4;1962;1543;403;48
1543;1;5;2125;1335;2378;446
1335;1;6;1543;2055;2315;458
2055;1;7;1335;151;1425;1951
151;1;8;2055;932;2151;2013
932;1;9;151;179;297;1977
179;1;10;932;2063;996;2001
2063;1;11;179;27;2334;1670
27;1;12;2063;2425;2326;632
2425;1;13;27;149;111;1862
149;1;14;2425;646;472;1131
646;1;15;149;1236;1338;2489
1236;1;16;646;1193;2412;770
1193;1;17;1236;1781;1001;340
1781;1;18;1193;478;1334;879
478;1;19;1781;1371;1061;1569
1371;1;20;478;1661;2460;22
1661;1;21;1371;1818;1705;1955
1818;1;22;1661;696;2443;1188
696;1;23;1818;2327;2286;556
2327;1;24;696;1184;80;1836
1184;1;25;2327;1045;84;2330
1045;1;26;1184;1404;1443;2403
1404;1;27;1045;1234;520;1700
1234;1;28;1404;758;1058;316
758;1;29;1234;433;1014;672
433;1;30;758;1847;1778;1154
1847;1;31;433;793;1534;839
793;1;32;1847;857;1411;1632
857;1;33;793;868;510;1906
868;1;34;857;1283;1905;238
1283;1;35;868;2400;195;1897
2400;1;36;1283;1671;2325;601
1671;1;37;2400;1954;909;1428
1954;1;38;1671;2297;351;2023
2297;1;39;1954;119;698;2047
119;1;40;2297;189;1420;1354
189;1;41;119;427;610;2480
427;1;42;189;1156;2485;97
1156;1;43;427;1119;1487;1403
1119;1;44;1156;280;943;1762
280;1;45;1119;33;913;2116
33;1;46;280;190;576;2033
190;1;47;33;451;604;1445
451;1;48;190;2300;714;864
2300;1;49;451;0;314;938
1094;2;0;0;1908;1746;1592
1908;2;1;1094;606;2049;2136
606;2;2;1908;1000;2365;1134
1000;2;3;606;48;1962;1284
48;2;4;1000;446;2125;1980
446;2;5;48;458;1543;518
458;2;6;446;1951;1335;1084
1951;2;7;458;2013;2055;579
2013;2;8;1951;1977;151;737
1977;2;9;2013;2001;932;1546
2001;2;10;1977;1670;179;1081
1670;2;11;2001;632;2063;831
632;2;12;1670;1862;27;1293
1862;2;13;632;1131;2425;1468
1131;2;14;1862;2489;149;2039
2489;2;15;1131;770;646;1005
770;2;16;2489;340;1236;1301
340;2;17;770;879;1193;2484
879;2;18;340;1569;1781;812
1569;2;19;879;22;478;1831
22;2;20;1569;1955;1371;755
1955;2;21;22;1188;1661;1879
1188;2;22;1955;556;1818;1807
556;2;23;1188;1836;696;2222
1836;2;24;556;2330;2327;1290
2330;2;25;1836;2403;1184;1575
2403;2;26;2330;1700;1045;2172
1700;2;27;2403;316;1404;792
316;2;28;1700;672;1234;281
672;2;29;316;1154;758;413
1154;2;30;672;839;433;1627
839;2;31;1154;1632;1847;558
1632;2;32;839;1906;793;2180
1906;2;33;1632;238;857;1149
238;2;34;1906;1897;868;759
1897;2;35;238;601;1283;952
601;2;36;1897;1428;2400;796
1428;2;37;601;2023;1671;1116
2023;2;38;1428;2047;1954;1022
2047;2;39;2023;1354;2297;1055
1354;2;40;2047;2480;119;1868
2480;2;41;1354;97;189;2287
97;2;42;2480;1403;427;1614
1403;2;43;97;1762;1156;463
1762;2;44;1403;2116;1119;428
2116;2;45;1762;2033;280;639
2033;2;46;2116;1445;33;1121
1445;2;47;2033;864;190;902
864;2;48;1445;938;451;489
938;2;49;864;0;2300;538
1592;3;0;0;2136;1094;541
2136;3;1;1592;1134;1908;1492
1134;3;2;2136;1284;606;833
1284;3;3;1134;1980;1000;1859
1980;3;4;1284;518;48;1433
518;3;5;1980;1084;446;1015
1084;3;6;518;579;458;1191
579;3;7;1084;737;1951;621
737;3;8;579;1546;2013;2036
1546;3;9;737;1081;1977;28
1081;3;10;1546;831;2001;2070
831;3;11;1081;1293;1670;539
1293;3;12;831;1468;632;2459
1468;3;13;1293;2039;1862;2435
2039;3;14;1468;1005;1131;2200
1005;3;15;2039;1301;2489;735
1301;3;16;1005;2484;770;1531
2484;3;17;1301;812;340;2061
812;3;18;2484;1831;879;75
1831;3;19;812;755;1569;2138
755;3;20;1831;1879;22;1069
1879;3;21;755;1807;1955;870
1807;3;22;1879;2222;1188;2363
2222;3;23;1807;1290;556;2
1290;3;24;2222;1575;1836;1362
1575;3;25;1290;2172;2330;2171
2172;3;26;1575;792;2403;763
792;3;27;2172;281;1700;1209
281;3;28;792;413;316;1062
413;3;29;281;1627;672;1584
1627;3;30;413;558;1154;1874
558;3;31;1627;2180;839;102
2180;3;32;558;1149;1632;930
1149;3;33;2180;759;1906;2104
759;3;34;1149;952;238;656
952;3;35;759;796;1897;1932
796;3;36;952;1116;601;2375
1116;3;37;796;1022;1428;1086
1022;3;38;1116;1055;2023;2457
1055;3;39;1022;1868;2047;360
1868;3;40;1055;2287;1354;2057
2287;3;41;1868;1614;2480;1125
1614;3;42;2287;463;97;2431
463;3;43;1614;428;1403;1917
428;3;44;463;639;1762;1518
639;3;45;428;1121;2116;2307
1121;3;46;639;902;2033;1343
902;3;47;1121;489;1445;328
489;3;48;902;538;864;2447
538;3;49;489;0;938;45
541;4;0;0;1492;1592;2017
1492;4;1;541;833;2136;612
833;4;2;1492;1859;1134;51
1859;4;3;833;1433;1284;344
1433;4;4;1859;1015;1980;736
1015;4;5;1433;1191;518;2040
1191;4;6;1015;621;1084;2356
621;4;7;1191;2036;579;1200
2036;4;8;621;28;737;56
28;4;9;2036;2070;1546;2494
2070;4;10;28;539;1081;1564
539;4;11;2070;2459;831;1363
2459;4;12;539;2435;1293;1225
2435;4;13;2459;2200;1468;2404
2200;4;14;2435;735;2039;1946
735;4;15;2200;1531;1005;845
1531;4;16;735;2061;1301;799
2061;4;17;1531;75;2484;1415
75;4;18;2061;2138;812;843
2138;4;19;75;1069;1831;1025
1069;4;20;2138;870;755;1202
870;4;21;1069;2363;1879;545
2363;4;22;870;2;1807;1747
2;4;23;2363;1362;2222;475
1362;4;24;2;2171;1290;440
2171;4;25;1362;763;1575;1400
763;4;26;2171;1209;2172;216
1209;4;27;763;1062;792;2421
1062;4;28;1209;1584;281;732
1584;4;29;1062;1874;413;254
1874;4;30;1584;102;1627;1520
102;4;31;1874;930;558;2446
930;4;32;102;2104;2180;2148
2104;4;33;930;656;1149;2048
656;4;34;2104;1932;759;2133
1932;4;35;656;2375;952;404
2375;4;36;1932;1086;796;1367
1086;4;37;2375;2457;1116;801
2457;4;38;1086;360;1022;2467
360;4;39;2457;2057;1055;2426
2057;4;40;360;1125;1868;821
1125;4;41;2057;2431;2287;1136
2431;4;42;1125;1917;1614;1314
1917;4;43;2431;1518;463;1726
1518;4;44;1917;2307;428;552
2307;4;45;1518;1343;639;1257
1343;4;46;2307;328;1121;838
328;4;47;1343;2447;902;2000
2447;4;48;328;45;489;79
45;4;49;2447;0;538;778
2017;5;0;0;612;541;207
612;5;1;2017;51;1492;1526
51;5;2;612;344;833;322
344;5;3;51;736;1859;290
736;5;4;344;2040;1433;2360
2040;5;5;736;2356;1015;1165
2356;5;6;2040;1200;1191;425
1200;5;7;2356;56;621;960
56;5;8;1200;2494;2036;39
2494;5;9;56;1564;28;1020
1564;5;10;2494;1363;2070;2256
1363;5;11;1564;1225;539;1387
1225;5;12;1363;2404;2459;2311
2404;5;13;1225;1946;2435;62
1946;5;14;2404;845;2200;525
845;5;15;1946;799;735;198
799;5;16;845;1415;1531;1634
1415;5;17;799;843;2061;2123
843;5;18;1415;1025;75;2154
1025;5;19;843;1202;2138;2068
1202;5;20;1025;545;1069;1742
545;5;21;1202;1747;870;2078
1747;5;22;545;475;2363;1067
475;5;23;1747;440;2;2117
440;5;24;475;1400;1362;1470
1400;5;25;440;216;2171;695
216;5;26;1400;2421;763;1895
2421;5;27;216;732;1209;807
732;5;28;2421;254;1062;717
254;5;29;732;1520;1584;1865
1520;5;30;254;2446;1874;597
2446;5;31;1520;2148;102;1212
2148;5;32;2446;2048;930;2106
2048;5;33;2148;2133;2104;654
2133;5;34;2048;404;656;900
404;5;35;2133;1367;1932;1694
1367;5;36;404;801;2375;1196
801;5;37;1367;2467;1086;2312
2467;5;38;801;2426;2457;835
2426;5;39;2467;821;360;263
821;5;40;2426;1136;2057;225
1136;5;41;821;1314;1125;1789
1314;5;42;1136;1726;2431;2470
1726;5;43;1314;552;1917;2250
552;5;44;1726;1257;1518;2265
1257;5;45;552;838;2307;2205
838;5;46;1257;2000;1343;1533
2000;5;47;838;79;328;561
79;5;48;2000;778;2447;1858
778;5;49;79;0;45;877
207;6;0;0;1526;2017;2118
1526;6;1;207;322;612;44
322;6;2;1526;290;51;872
290;6;3;322;2360;344;1786
2360;6;4;290;1165;736;889
1165;6;5;2360;425;2040;338
425;6;6;1165;960;2356;74
960;6;7;425;39;1200;384
39;6;8;960;1020;56;336
1020;6;9;39;2256;2494;844
2256;6;10;1020;1387;1564;640
1387;6;11;2256;2311;1363;1596
2311;6;12;1387;62;1225;1916
62;6;13;2311;525;2404;375
525;6;14;62;198;1946;1790
198;6;15;525;1634;845;865
1634;6;16;198;2123;799;1788
2123;6;17;1634;2154;1415;600
2154;6;18;2123;2068;843;1047
2068;6;19;2154;1742;1025;963
1742;6;20;2068;2078;1202;670
2078;6;21;1742;1067;545;1737
1067;6;22;2078;2117;1747;1454
2117;6;23;1067;1470;475;1330
1470;6;24;2117;695;440;1011
695;6;25;1470;1895;1400;1804
1895;6;26;695;807;216;89
807;6;27;1895;717;2421;1440
717;6;28;807;1865;732;105
1865;6;29;717;597;254;419
597;6;30;1865;1212;1520;417
1212;6;31;597;2106;2446;1779
2106;6;32;1212;654;2148;548
654;6;33;2106;900;2048;1249
900;6;34;654;1694;2133;454
1694;6;35;900;1196;404;2162
1196;6;36;1694;2312;1367;359
2312;6;37;1196;835;801;204
835;6;38;2312;263;2467;928
263;6;39;835;225;2426;1370
225;6;40;263;1789;821;2198
1789;6;41;225;2470;1136;1018
2470;6;42;1789;2250;1314;1915
2250;6;43;2470;2265;1726;68
2265;6;44;2250;2205;552;1064
2205;6;45;2265;1533;1257;896
1533;6;46;2205;561;838;972
561;6;47;1533;1858;2000;2016
1858;6;48;561;877;79;929
877;6;49;1858;0;778;1176
2118;7;0;0;44;207;2415
44;7;1;2118;872;1526;1752
872;7;2;44;1786;322;1706
1786;7;3;872;889;290;2227
889;7;4;1786;338;2360;2292
338;7;5;889;74;1165;1761
74;7;6;338;384;425;1421
384;7;7;74;336;960;109
336;7;8;384;844;39;465
844;7;9;336;640;1020;1715
640;7;10;844;1596;2256;757
1596;7;11;640;1916;1387;577
1916;7;12;1596;375;2311;2442
375;7;13;1916;1790;62;2367
1790;7;14;375;865;525;1340
865;7;15;1790;1788;198;86
1788;7;16;865;600;1634;752
600;7;17;1788;1047;2123;1144
1047;7;18;600;963;2154;682
963;7;19;1047;670;2068;787
670;7;20;963;1737;1742;76
1737;7;21;670;1454;2078;1199
1454;7;22;1737;1330;1067;803
1330;7;23;1454;1011;2117;806
1011;7;24;1330;1804;1470;453
1804;7;25;1011;89;695;653
89;7;26;1804;1440;1895;125
1440;7;27;89;105;807;270
105;7;28;1440;419;717;897
419;7;29;105;417;1865;989
417;7;30;419;1779;597;2441
1779;7;31;417;548;1212;2176
548;7;32;1779;1249;2106;1689
1249;7;33;548;454;654;1969
454;7;34;1249;2162;900;464
2162;7;35;454;359;1694;2267
359;7;36;2162;204;1196;563
204;7;37;359;928;2312;1337
928;7;38;204;1370;835;1524
1370;7;39;928;2198;263;1645
2198;7;40;1370;1018;225;104
1018;7;41;2198;1915;1789;388
1915;7;42;1018;68;2470;580
68;7;43;1915;1064;2250;272
1064;7;44;68;896;2265;1608
896;7;45;1064;972;2205;131
972;7;46;896;2016;1533;974
2016;7;47;972;929;561;2413
929;7;48;2016;1176;1858;570
1176;7;49;929;0;877;514
2415;8;0;0;1752;2118;1019
1752;8;1;2415;1706;44;2352
1706;8;2;1752;2227;872;2298
2227;8;3;1706;2292;1786;133
2292;8;4;2227;1761;889;527
1761;8;5;2292;1421;338;1500
1421;8;6;1761;109;74;2098
109;8;7;1421;465;384;1355
465;8;8;109;1715;336;891
1715;8;9;465;757;844;1881
757;8;10;1715;577;640;1958
577;8;11;757;2442;1596;95
2442;8;12;577;2367;1916;85
2367;8;13;2442;1340;375;958
1340;8;14;2367;86;1790;1210
86;8;15;1340;752;865;762
752;8;16;86;1144;1788;964
1144;8;17;752;682;600;749
682;8;18;1144;787;1047;452
787;8;19;682;76;963;1591
76;8;20;787;1199;670;984
1199;8;21;76;803;1737;1621
803;8;22;1199;806;1454;1964
806;8;23;803;453;1330;699
453;8;24;806;653;1011;1384
653;8;25;453;125;1804;292
125;8;26;653;270;89;1900
270;8;27;125;897;1440;342
897;8;28;270;989;105;1624
989;8;29;897;2441;419;2319
2441;8;30;989;2176;417;1448
2176;8;31;2441;1689;1779;1939
1689;8;32;2176;1969;548;498
1969;8;33;1689;464;1249;1943
464;8;34;1969;2267;454;1021
2267;8;35;464;563;2162;2074
563;8;36;2267;1337;359;1622
1337;8;37;563;1524;204;2310
1524;8;38;1337;1645;928;423
1645;8;39;1524;104;1370;1112
104;8;40;1645;388;2198;1935
388;8;41;104;580;1018;1672
580;8;42;388;272;1915;1936
272;8;43;580;1608;68;1247
1608;8;44;272;131;1064;499
131;8;45;1608;974;896;690
974;8;46;131;2413;972;2076
2413;8;47;974;570;2016;1333
570;8;48;2413;514;929;2339
514;8;49;570;0;1176;1619
1019;9;0;0;2352;2415;1901
2352;9;1;1019;2298;1752;834
2298;9;2;2352;133;1706;708
133;9;3;2298;527;2227;1986
527;9;4;133;1500;2292;2273
1500;9;5;527;2098;1761;246
2098;9;6;1500;1355;1421;1787
1355;9;7;2098;891;109;526
891;9;8;1355;1881;465;469
1881;9;9;891;1958;1715;603
1958;9;10;1881;95;757;788
95;9;11;1958;85;577;1339
85;9;12;95;958;2442;1068
958;9;13;85;1210;2367;581
1210;9;14;958;762;1340;371
762;9;15;1210;964;86;1181
964;9;16;762;749;752;2445
749;9;17;964;452;1144;1205
452;9;18;749;1591;682;1310
1591;9;19;452;984;787;2082
984;9;20;1591;1621;76;997
1621;9;21;984;1964;1199;202
1964;9;22;1621;699;803;975
699;9;23;1964;1384;806;2004
1384;9;24;699;292;453;859
292;9;25;1384;1900;653;507
1900;9;26;292;342;125;152
342;9;27;1900;1624;270;26
1624;9;28;342;2319;897;1635
2319;9;29;1624;1448;989;1892
1448;9;30;2319;1939;2441;1274
1939;9;31;1448;498;2176;2108
498;9;32;1939;1943;1689;1927
1943;9;33;498;1021;1969;980
1021;9;34;1943;2074;464;1446
2074;9;35;1021;1622;2267;2429
1622;9;36;2074;2310;563;8
2310;9;37;1622;423;1337;942
423;9;38;2310;1112;1524;2440
1112;9;39;423;1935;1645;449
1935;9;40;1112;1672;104;67
1672;9;41;1935;1936;388;352
1936;9;42;1672;1247;580;1741
1247;9;43;1936;499;272;181
499;9;44;1247;690;1608;1447
690;9;45;499;2076;131;789
2076;9;46;690;1333;974;1782
1333;9;47;2076;2339;2413;386
2339;9;48;1333;1619;570;1095
1619;9;49;2339;0;514;1567
1901;10;0;0;834;1019;1871
834;10;1;1901;708;2352;101
