1;1000;1000;1;true;true;true
616;0;0;0;0;0;491
491;1;0;0;0;616;808
808;2;0;0;0;491;669
669;3;0;0;0;808;265
265;4;0;0;0;669;109
109;5;0;0;0;265;142
142;6;0;0;0;109;586
586;7;0;0;0;142;120
120;8;0;0;0;586;377
377;9;0;0;0;120;685
685;10;0;0;0;377;146
146;11;0;0;0;685;971
971;12;0;0;0;146;527
527;13;0;0;0;971;110
110;14;0;0;0;527;634
634;15;0;0;0;110;908
908;16;0;0;0;634;345
345;17;0;0;0;908;843
843;18;0;0;0;345;28
28;19;0;0;0;843;842
842;20;0;0;0;28;263
263;21;0;0;0;842;474
474;22;0;0;0;263;486
486;23;0;0;0;474;476
476;24;0;0;0;486;727
727;25;0;0;0;476;612
612;26;0;0;0;727;710
710;27;0;0;0;612;515
515;28;0;0;0;710;258
258;29;0;0;0;515;891
891;30;0;0;0;258;444
444;31;0;0;0;891;599
599;32;0;0;0;444;592
592;33;0;0;0;599;118
118;34;0;0;0;592;649
649;35;0;0;0;118;663
663;36;0;0;0;649;354
354;37;0;0;0;663;29
29;38;0;0;0;354;449
449;39;0;0;0;29;459
459;40;0;0;0;449;320
320;41;0;0;0;459;631
631;42;0;0;0;320;293
293;43;0;0;0;631;289
289;44;0;0;0;293;203
203;45;0;0;0;289;562
562;46;0;0;0;203;256
256;47;0;0;0;562;106
106;48;0;0;0;256;169
169;49;0;0;0;106;573
573;50;0;0;0;169;943
943;51;0;0;0;573;26
26;52;0;0;0;943;408
408;53;0;0;0;26;226
226;54;0;0;0;408;284
284;55;0;0;0;226;641
641;56;0;0;0;284;27
27;57;0;0;0;641;759
759;58;0;0;0;27;837
837;59;0;0;0;759;488
488;60;0;0;0;837;999
999;61;0;0;0;488;242
242;62;0;0;0;999;642
642;63;0;0;0;242;9
9;64;0;0;0;642;372
372;65;0;0;0;9;552
552;66;0;0;0;372;587
587;67;0;0;0;552;147
147;68;0;0;0;587;980
980;69;0;0;0;147;121
121;70;0;0;0;980;7
7;71;0;0;0;121;384
384;72;0;0;0;7;103
103;73;0;0;0;384;955
955;74;0;0;0;103;578
578;75;0;0;0;955;219
219;76;0;0;0;578;647
647;77;0;0;0;219;361
361;78;0;0;0;647;290
290;79;0;0;0;361;618
618;80;0;0;0;290;740
740;81;0;0;0;618;819
819;82;0;0;0;740;122
122;83;0;0;0;819;479
479;84;0;0;0;122;920
920;85;0;0;0;479;222
222;86;0;0;0;920;383
383;87;0;0;0;222;35
35;88;0;0;0;383;250
250;89;0;0;0;35;322
322;90;0;0;0;250;661
661;91;0;0;0;322;670
670;92;0;0;0;661;353
353;93;0;0;0;670;252
252;94;0;0;0;353;79
79;95;0;0;0;252;585
585;96;0;0;0;79;536
536;97;0;0;0;585;903
903;98;0;0;0;536;973
973;99;0;0;0;903;3
3;100;0;0;0;973;8
8;101;0;0;0;3;817
817;102;0;0;0;8;55
55;103;0;0;0;817;19
19;104;0;0;0;55;331
331;105;0;0;0;19;569
569;106;0;0;0;331;316
316;107;0;0;0;569;797
797;108;0;0;0;316;897
897;109;0;0;0;797;10
10;110;0;0;0;897;245
245;111;0;0;0;10;88
88;112;0;0;0;245;339
339;113;0;0;0;88;468
468;114;0;0;0;339;519
519;115;0;0;0;468;716
716;116;0;0;0;519;466
466;117;0;0;0;716;99
99;118;0;0;0;466;94
94;119;0;0;0;99;846
846;120;0;0;0;94;929
929;121;0;0;0;846;300
300;122;0;0;0;929;598
598;123;0;0;0;300;613
613;124;0;0;0;598;828
