2;40000;200;200;true;true;true
13340;0;0;0;23958;0;20659
23958;0;1;13340;14141;0;37626
14141;0;2;23958;15259;0;20374
15259;0;3;14141;37547;0;1548
37547;0;4;15259;30663;0;21488
30663;0;5;37547;11414;0;27023
11414;0;6;30663;947;0;19765
947;0;7;11414;27648;0;7829
27648;0;8;947;14861;0;34361
14861;0;9;27648;18969;0;34312
18969;0;10;14861;21956;0;1129
21956;0;11;18969;13914;0;3947
13914;0;12;21956;19829;0;12205
19829;0;13;13914;21836;0;495
21836;0;14;19829;17091;0;22259
17091;0;15;21836;21124;0;39635
21124;0;16;17091;4705;0;32221
4705;0;17;21124;10881;0;38839
10881;0;18;4705;4967;0;10925
4967;0;19;10881;12238;0;18303
12238;0;20;4967;32358;0;37974
32358;0;21;12238;16018;0;15806
16018;0;22;32358;34958;0;10366
34958;0;23;16018;27307;0;24870
27307;0;24;34958;20241;0;17892
20241;0;25;27307;5161;0;29539
5161;0;26;20241;26340;0;20758
26340;0;27;5161;33396;0;29179
33396;0;28;26340;37320;0;21322
37320;0;29;33396;30529;0;2554
30529;0;30;37320;36611;0;22734
36611;0;31;30529;7094;0;32153
7094;0;32;36611;4357;0;10094
4357;0;33;7094;29795;0;17105
29795;0;34;4357;12497;0;36234
12497;0;35;29795;30073;0;17331
30073;0;36;12497;4832;0;16578
4832;0;37;30073;16832;0;3045
16832;0;38;4832;17316;0;11201
17316;0;39;16832;22811;0;35407
22811;0;40;17316;13873;0;20067
13873;0;41;22811;18412;0;19755
18412;0;42;13873;14395;0;30926
14395;0;43;18412;5729;0;9453
5729;0;44;14395;21642;0;4918
21642;0;45;5729;9766;0;3232
9766;0;46;21642;39897;0;7940
39897;0;47;9766;26597;0;25561
26597;0;48;39897;5283;0;28333
5283;0;49;26597;31290;0;9506
31290;0;50;5283;21613;0;26068
21613;0;51;31290;25209;0;15116
25209;0;52;21613;39296;0;38729
39296;0;53;25209;18692;0;14311
18692;0;54;39296;24741;0;683
24741;0;55;18692;27404;0;11020
27404;0;56;24741;23272;0;7199
23272;0;57;27404;15969;0;37402
15969;0;58;23272;1484;0;20305
1484;0;59;15969;16299;0;12891
16299;0;60;1484;35401;0;12677
35401;0;61;16299;27756;0;32706
27756;0;62;35401;35397;0;24849
35397;0;63;27756;10069;0;16596
10069;0;64;35397;34824;0;7646
34824;0;65;10069;6213;0;32185
6213;0;66;34824;24583;0;13032
24583;0;67;6213;24026;0;32606
24026;0;68;24583;13218;0;7995
13218;0;69;24026;37174;0;19998
37174;0;70;13218;24441;0;1116
24441;0;71;37174;36352;0;39245
36352;0;72;24441;25909;0;29508
25909;0;73;36352;28634;0;29136
28634;0;74;25909;27182;0;5789
27182;0;75;28634;34305;0;27697
34305;0;76;27182;18452;0;39564
18452;0;77;34305;22971;0;27010
22971;0;78;18452;22405;0;23430
22405;0;79;22971;21748;0;11102
21748;0;80;22405;12994;0;13822
12994;0;81;21748;26475;0;24054
26475;0;82;12994;27380;0;6150
27380;0;83;26475;21387;0;22009
21387;0;84;27380;7174;0;28165
7174;0;85;21387;39616;0;587
39616;0;86;7174;36202;0;29471
36202;0;87;39616;11493;0;32
11493;0;88;36202;1209;0;35290
1209;0;89;11493;12520;0;5492
12520;0;90;1209;5078;0;25155
5078;0;91;12520;28605;0;3772
