2;100000;10;10000;true;true;true
78867;0;0;0;97624;0;6684
97624;0;1;78867;47094;0;55595
47094;0;2;97624;90928;0;41522
90928;0;3;47094;3764;0;92882
3764;0;4;90928;58329;0;96174
58329;0;5;3764;50217;0;84757
50217;0;6;58329;35018;0;39792
35018;0;7;50217;3405;0;80692
3405;0;8;35018;45522;0;56490
45522;0;9;3405;86503;0;6956
86503;0;10;45522;16198;0;21321
16198;0;11;86503;47953;0;37558
47953;0;12;16198;10876;0;84608
10876;0;13;47953;29162;0;36365
29162;0;14;10876;34681;0;13841
34681;0;15;29162;4176;0;8793
4176;0;16;34681;39944;0;53598
39944;0;17;4176;46003;0;59890
46003;0;18;39944;7937;0;45152
7937;0;19;46003;6646;0;83156
6646;0;20;7937;57799;0;30172
57799;0;21;6646;77631;0;51328
77631;0;22;57799;67752;0;57326
67752;0;23;77631;41550;0;9027
41550;0;24;67752;64529;0;10676
64529;0;25;41550;79476;0;23802
79476;0;26;64529;79439;0;31995
79439;0;27;79476;40007;0;48024
40007;0;28;79439;17072;0;79157
17072;0;29;40007;81528;0;62809
81528;0;30;17072;12458;0;94041
12458;0;31;81528;52182;0;59214
52182;0;32;12458;79453;0;32662
79453;0;33;52182;27629;0;76161
27629;0;34;79453;79293;0;76264
79293;0;35;27629;53654;0;94222
53654;0;36;79293;89323;0;25091
89323;0;37;53654;31502;0;18689
31502;0;38;89323;61533;0;75509
61533;0;39;31502;59866;0;68623
59866;0;40;61533;3250;0;69846
3250;0;41;59866;89236;0;66922
89236;0;42;3250;33281;0;5505
33281;0;43;89236;60670;0;19745
60670;0;44;33281;57239;0;33888
57239;0;45;60670;72479;0;19013
72479;0;46;57239;2209;0;74213
2209;0;47;72479;89154;0;73548
89154;0;48;2209;10798;0;19884
10798;0;49;89154;21242;0;66501
21242;0;50;10798;44605;0;47508
44605;0;51;21242;67465;0;96292
67465;0;52;44605;10137;0;50991
10137;0;53;67465;58984;0;27414
58984;0;54;10137;78044;0;26485
78044;0;55;58984;40888;0;91279
40888;0;56;78044;77955;0;72001
77955;0;57;40888;52420;0;6032
52420;0;58;77955;2932;0;98476
2932;0;59;52420;70579;0;72364
70579;0;60;2932;5770;0;24621
5770;0;61;70579;55971;0;30130
