2;40000;20;2000;true;true;true
5255;0;0;0;28201;0;26783
28201;0;1;5255;33256;0;34047
33256;0;2;28201;13416;0;16815
13416;0;3;33256;20980;0;12082
20980;0;4;13416;12387;0;36238
12387;0;5;20980;157;0;39009
157;0;6;12387;32578;0;7581
32578;0;7;157;13900;0;24749
13900;0;8;32578;16827;0;27030
16827;0;9;13900;8743;0;12027
8743;0;10;16827;17504;0;1915
17504;0;11;8743;972;0;3118
972;0;12;17504;30870;0;28301
30870;0;13;972;24667;0;17335
24667;0;14;30870;527;0;29758
527;0;15;24667;18698;0;31343
18698;0;16;527;19580;0;26496
19580;0;17;18698;1206;0;38597
1206;0;18;19580;5513;0;23848
5513;0;19;1206;14249;0;1350
14249;0;20;5513;33767;0;12906
33767;0;21;14249;30009;0;25090
30009;0;22;33767;1131;0;13218
1131;0;23;30009;27380;0;27778
27380;0;24;1131;9991;0;25985
9991;0;25;27380;39359;0;24603
39359;0;26;9991;30922;0;12764
30922;0;27;39359;30345;0;24811
30345;0;28;30922;6283;0;15758
6283;0;29;30345;8806;0;21898
8806;0;30;6283;35869;0;1245
35869;0;31;8806;10797;0;32704
10797;0;32;35869;8723;0;7395
8723;0;33;10797;13483;0;3717
13483;0;34;8723;18248;0;6844
18248;0;35;13483;25508;0;32999
25508;0;36;18248;274;0;2165
274;0;37;25508;20539;0;35315
20539;0;38;274;1385;0;694
1385;0;39;20539;14278;0;12761
14278;0;40;1385;24298;0;20185
24298;0;41;14278;1332;0;4457
1332;0;42;24298;10321;0;612
10321;0;43;1332;2333;0;31019
2333;0;44;10321;34081;0;10174
34081;0;45;2333;33725;0;29315
33725;0;46;34081;27594;0;15195
27594;0;47;33725;14748;0;27695
14748;0;48;27594;27234;0;9242
27234;0;49;14748;11645;0;32002
11645;0;50;27234;4671;0;16500
4671;0;51;11645;20153;0;24586
20153;0;52;4671;26341;0;17520
26341;0;53;20153;25913;0;1133
25913;0;54;26341;24515;0;33987
24515;0;55;25913;1841;0;4363
1841;0;56;24515;13803;0;8042
13803;0;57;1841;37174;0;9224
37174;0;58;13803;4925;0;15688
4925;0;59;37174;13624;0;13915
13624;0;60;4925;3491;0;11664
3491;0;61;13624;21854;0;28340
21854;0;62;3491;13307;0;30719
13307;0;63;21854;4846;0;5514
4846;0;64;13307;11698;0;16635
11698;0;65;4846;11083;0;21321
11083;0;66;11698;14415;0;38008
14415;0;67;11083;519;0;35332
519;0;68;14415;7461;0;20940
7461;0;69;519;30631;0;15270
30631;0;70;7461;11029;0;17607
11029;0;71;30631;27944;0;36899
27944;0;72;11029;32973;0;30434
32973;0;73;27944;9233;0;24323
9233;0;74;32973;36550;0;17000
36550;0;75;9233;30213;0;6853
30213;0;76;36550;17755;0;31535
17755;0;77;30213;23592;0;6294
23592;0;78;17755;13137;0;10184
13137;0;79;23592;2396;0;39313
2396;0;80;13137;7734;0;4546
7734;0;81;2396;35360;0;16143
35360;0;82;7734;30790;0;18011
30790;0;83;35360;34957;0;9774
34957;0;84;30790;9694;0;20486
9694;0;85;34957;6739;0;35326
6739;0;86;9694;15163;0;1204
15163;0;87;6739;14606;0;29304
14606;0;88;15163;1806;0;6203
1806;0;89;14606;12371;0;7283
12371;0;90;1806;25506;0;15247
25506;0;91;12371;29331;0;12999
29331;0;92;25506;5843;0;11283
5843;0;93;29331;32759;0;927
32759;0;94;5843;31418;0;30261
31418;0;95;32759;26757;0;30500
26757;0;96;31418;38063;0;23430
38063;0;97;26757;33468;0;6922
33468;0;98;38063;10918;0;37001
10918;0;99;33468;17925;0;14085
17925;0;100;10918;39433;0;39816
39433;0;101;17925;6118;0;17567
6118;0;102;39433;28925;0;7054
28925;0;103;6118;5656;0;7182
5656;0;104;28925;7268;0;12812
7268;0;105;5656;22843;0;34317
22843;0;106;7268;9060;0;37577
9060;0;107;22843;32429;0;18252
32429;0;108;9060;32994;0;24391
32994;0;109;32429;10114;0;24125
10114;0;110;32994;16459;0;32193
16459;0;111;10114;32048;0;22082
32048;0;112;16459;11149;0;18494
11149;0;113;32048;6339;0;12722
6339;0;114;11149;3099;0;26637
3099;0;115;6339;33486;0;36506
33486;0;116;3099;7342;0;30101
7342;0;117;33486;22568;0;23786
22568;0;118;7342;39;0;26715
39;0;119;22568;15139;0;25544
15139;0;120;39;24596;0;32006
24596;0;121;15139;2881;0;13315
2881;0;122;24596;16714;0;15937
16714;0;123;2881;10254;0;37065
10254;0;124;16714;18663;0;33369
18663;0;125;10254;12110;0;39974
12110;0;126;18663;12778;0;9977
12778;0;127;12110;1373;0;10133
1373;0;128;12778;17363;0;35398
17363;0;129;1373;16317;0;34966
16317;0;130;17363;5185;0;29735
5185;0;131;16317;4490;0;21069
4490;0;132;5185;34014;0;4478
34014;0;133;4490;19018;0;13977
19018;0;134;34014;16849;0;28572
16849;0;135;19018;38340;0;34743
38340;0;136;16849;12824;0;6133
12824;0;137;38340;1678;0;27050
1678;0;138;12824;33439;0;17342
33439;0;139;1678;33004;0;38910
33004;0;140;33439;39179;0;20350
39179;0;141;33004;15934;0;12132
15934;0;142;39179;17940;0;35462
17940;0;143;15934;23685;0;36837
23685;0;144;17940;21232;0;4764
21232;0;145;23685;21138;0;35611
21138;0;146;21232;33921;0;13105
33921;0;147;21138;28974;0;762
28974;0;148;33921;5182;0;948
5182;0;149;28974;39920;0;20881
39920;0;150;5182;21003;0;38097
21003;0;151;39920;18103;0;4487
18103;0;152;21003;21479;0;13330
21479;0;153;18103;18740;0;33536
18740;0;154;21479;25901;0;37409
25901;0;155;18740;9423;0;27092
9423;0;156;25901;2043;0;31742
2043;0;157;9423;26138;0;22940
26138;0;158;2043;4840;0;18307
4840;0;159;26138;27424;0;13918
27424;0;160;4840;24369;0;18819
24369;0;161;27424;26614;0;13681
26614;0;162;24369;22567;0;2334
22567;0;163;26614;5724;0;5046
5724;0;164;22567;35988;0;32502
35988;0;165;5724;7615;0;8261
7615;0;166;35988;13448;0;22922
13448;0;167;7615;19618;0;7813
19618;0;168;13448;28626;0;28970
28626;0;169;19618;33321;0;27281
33321;0;170;28626;21092;0;8706
21092;0;171;33321;19202;0;18808
19202;0;172;21092;9802;0;35979
9802;0;173;19202;36728;0;10702
36728;0;174;9802;16239;0;33351
16239;0;175;36728;7537;0;22200
7537;0;176;16239;1871;0;36513
1871;0;177;7537;10430;0;33161
10430;0;178;1871;5703;0;8378
5703;0;179;10430;3911;0;18391
3911;0;180;5703;38330;0;3847
38330;0;181;3911;36222;0;4956
36222;0;182;38330;14649;0;37551
14649;0;183;36222;26252;0;29340
26252;0;184;14649;34763;0;12259
34763;0;185;26252;32347;0;3348
32347;0;186;34763;31836;0;13058
31836;0;187;32347;21173;0;39624
21173;0;188;31836;23333;0;34465
23333;0;189;21173;20259;0;12060
20259;0;190;23333;14628;0;34004
14628;0;191;20259;21413;0;793
21413;0;192;14628;30519;0;34422
30519;0;193;21413;13570;0;32803
13570;0;194;30519;29712;0;22834
29712;0;195;13570;19047;0;32757
19047;0;196;29712;17075;0;13116
17075;0;197;19047;6416;0;12483
6416;0;198;17075;19794;0;37815
19794;0;199;6416;29852;0;10750
29852;0;200;19794;15931;0;11641
15931;0;201;29852;12261;0;26894
12261;0;202;15931;13698;0;17071
13698;0;203;12261;18805;0;6823
18805;0;204;13698;34741;0;10117
34741;0;205;18805;3077;0;24063
3077;0;206;34741;36266;0;8680
36266;0;207;3077;4114;0;34464
4114;0;208;36266;32441;0;22274
32441;0;209;4114;20299;0;23331
20299;0;210;32441;39028;0;22564
39028;0;211;20299;16830;0;21486
16830;0;212;39028;13293;0;31964
13293;0;213;16830;2547;0;21502
2547;0;214;13293;21095;0;23594
21095;0;215;2547;24668;0;5722
24668;0;216;21095;36055;0;12288
36055;0;217;24668;9365;0;33941
9365;0;218;36055;12031;0;35724
12031;0;219;9365;23442;0;34735
23442;0;220;12031;3707;0;34174
3707;0;221;23442;30795;0;17588
30795;0;222;3707;39136;0;39975
39136;0;223;30795;11591;0;26308
11591;0;224;39136;38099;0;17638
38099;0;225;11591;11531;0;4597
11531;0;226;38099;217;0;3319
217;0;227;11531;15360;0;36274
15360;0;228;217;33777;0;804
33777;0;229;15360;16262;0;24666
16262;0;230;33777;25759;0;37256
25759;0;231;16262;32731;0;2593
32731;0;232;25759;33529;0;37377
33529;0;233;32731;13314;0;17448
13314;0;234;33529;39197;0;9897
39197;0;235;13314;4798;0;23814
4798;0;236;39197;17884;0;17954
17884;0;237;4798;22549;0;34760
22549;0;238;17884;37285;0;529
37285;0;239;22549;31266;0;8262
31266;0;240;37285;21142;0;31186
21142;0;241;31266;14686;0;25737
14686;0;242;21142;23017;0;19437
23017;0;243;14686;9091;0;25040
9091;0;244;23017;10773;0;18962
10773;0;245;9091;25806;0;15141
25806;0;246;10773;25725;0;9728
25725;0;247;25806;12187;0;18249
12187;0;248;25725;37394;0;2474
37394;0;249;12187;3429;0;39485
3429;0;250;37394;21710;0;10576
21710;0;251;3429;29953;0;6666
29953;0;252;21710;8354;0;25947
8354;0;253;29953;29664;0;8465
29664;0;254;8354;6929;0;20901
6929;0;255;29664;38315;0;30975
38315;0;256;6929;5519;0;9252
5519;0;257;38315;8619;0;3576
8619;0;258;5519;23515;0;30883
23515;0;259;8619;3276;0;3669
3276;0;260;23515;19819;0;6594
19819;0;261;3276;27948;0;17687
27948;0;262;19819;20625;0;34598
20625;0;263;27948;20484;0;12362
20484;0;264;20625;10732;0;26859
10732;0;265;20484;4580;0;16888
4580;0;266;10732;12937;0;3855
12937;0;267;4580;20698;0;33255
20698;0;268;12937;19886;0;35885
19886;0;269;20698;36277;0;19414
36277;0;270;19886;30341;0;8823
30341;0;271;36277;6246;0;37331
6246;0;272;30341;39668;0;29355
39668;0;273;6246;8515;0;11704
8515;0;274;39668;3808;0;25343
3808;0;275;8515;1814;0;9310
1814;0;276;3808;8133;0;25825
8133;0;277;1814;475;0;33868
475;0;278;8133;20425;0;28094
20425;0;279;475;17966;0;23247
17966;0;280;20425;25188;0;8907
25188;0;281;17966;4771;0;23480
4771;0;282;25188;24247;0;18167
24247;0;283;4771;22795;0;24892
22795;0;284;24247;36654;0;29398
36654;0;285;22795;656;0;27065
656;0;286;36654;9649;0;28357
