2;4;130;130;false;true;false
3;0;0;0;4;0;2
4;0;1;3;3;0;4
3;0;2;4;4;0;1
4;0;3;3;3;0;1
3;0;4;4;4;0;3
4;0;5;3;3;0;3
3;0;6;4;3;0;2
3;0;7;3;4;0;1
4;0;8;3;4;0;4
4;0;9;4;4;0;3
4;0;10;4;4;0;1
4;0;11;4;3;0;3
3;0;12;4;2;0;3
2;0;13;3;3;0;3
3;0;14;2;4;0;3
4;0;15;3;3;0;2
3;0;16;4;2;0;1
2;0;17;3;1;0;3
1;0;18;2;4;0;3
4;0;19;1;4;0;2
4;0;20;4;1;0;2
1;0;21;4;4;0;4
4;0;22;1;2;0;1
2;0;23;4;1;0;4
1;0;24;2;3;0;3
3;0;25;1;3;0;3
3;0;26;3;2;0;3
2;0;27;3;4;0;4
4;0;28;2;3;0;1
3;0;29;4;4;0;4
4;0;30;3;3;0;2
3;0;31;4;1;0;2
1;0;32;3;4;0;4
4;0;33;1;4;0;4
4;0;34;4;2;0;4
2;0;35;4;4;0;1
4;0;36;2;3;0;4
3;0;37;4;1;0;1
1;0;38;3;3;0;3
3;0;39;1;4;0;2
4;0;40;3;3;0;2
3;0;41;4;2;0;4
2;0;42;3;2;0;1
2;0;43;2;2;0;2
2;0;44;2;4;0;1
4;0;45;2;4;0;1
4;0;46;4;3;0;3
3;0;47;4;3;0;1
3;0;48;3;2;0;3
2;0;49;3;1;0;2
1;0;50;2;4;0;2
4;0;51;1;1;0;1
1;0;52;4;2;0;3
2;0;53;1;2;0;1
2;0;54;2;3;0;4
3;0;55;2;3;0;2
3;0;56;3;4;0;4
4;0;57;3;1;0;3
1;0;58;4;1;0;4
1;0;59;1;4;0;4
4;0;60;1;1;0;2
1;0;61;4;3;0;2
3;0;62;1;2;0;2
2;0;63;3;1;0;4
1;0;64;2;2;0;4
2;0;65;1;4;0;3
4;0;66;2;1;0;4
1;0;67;4;3;0;3
3;0;68;1;2;0;2
2;0;69;3;4;0;3
4;0;70;2;3;0;3
3;0;71;4;1;0;2
1;0;72;3;2;0;4
2;0;73;1;4;0;4
4;0;74;2;2;0;4
2;0;75;4;3;0;3
3;0;76;2;3;0;2
3;0;77;3;2;0;2
2;0;78;3;4;0;3
4;0;79;2;2;0;2
2;0;80;4;4;0;2
4;0;81;2;3;0;4
3;0;82;4;4;0;3
4;0;83;3;3;0;1
3;0;84;4;2;0;3
2;0;85;3;2;0;1
2;0;86;2;1;0;4
1;0;87;2;1;0;3
1;0;88;1;1;0;2
1;0;89;1;1;0;2
1;0;90;1;3;0;2
3;0;91;1;2;0;2
2;0;92;3;1;0;3
1;0;93;2;2;0;3
2;0;94;1;2;0;3
2;0;95;2;4;0;4
4;0;96;2;1;0;2
1;0;97;4;1;0;2
1;0;98;1;1;0;3
1;0;99;1;4;0;4
4;0;100;1;2;0;2
2;0;101;4;3;0;3
3;0;102;2;1;0;3
1;0;103;3;3;0;4
3;0;104;1;4;0;3
4;0;105;3;2;0;4
2;0;106;4;4;0;1
4;0;107;2;1;0;4
1;0;108;4;3;0;4
3;0;109;1;3;0;3
3;0;110;3;4;0;2
4;0;111;3;2;0;1
2;0;112;4;3;0;3
3;0;113;2;1;0;2
1;0;114;3;2;0;3
2;0;115;1;1;0;1
1;0;116;2;3;0;2
3;0;117;1;3;0;2
3;0;118;3;3;0;3
3;0;119;3;2;0;3
2;0;120;3;4;0;3
4;0;121;2;1;0;2
1;0;122;4;4;0;4
4;0;123;1;2;0;2
2;0;124;4;3;0;3
3;0;125;2;4;0;3
4;0;126;3;2;0;3
2;0;127;4;1;0;4
1;0;128;2;1;0;1
1;0;129;1;0;0;4
2;1;0;0;4;3;4
4;1;1;2;1;4;2
1;1;2;4;1;3;3
1;1;3;1;3;4;2
3;1;4;1;3;3;2
3;1;5;3;2;4;1
2;1;6;3;1;3;4
1;1;7;2;4;3;1
4;1;8;1;3;4;4
3;1;9;4;1;4;4
1;1;10;3;3;4;3
3;1;11;1;3;4;2
3;1;12;3;3;3;3
3;1;13;3;3;2;4
3;1;14;3;2;3;2
2;1;15;3;1;4;4
1;1;16;2;3;3;1
3;1;17;1;3;2;2
3;1;18;3;2;1;3
2;1;19;3;2;4;1
2;1;20;2;4;4;4
4;1;21;2;1;1;1
1;1;22;4;4;4;2
4;1;23;1;3;2;1
3;1;24;4;3;1;2
3;1;25;3;3;3;2
3;1;26;3;4;3;3
4;1;27;3;1;2;2
1;1;28;4;4;4;1
4;1;29;1;2;3;4
2;1;30;4;2;4;4
2;1;31;2;4;3;1
4;1;32;2;4;1;4
4;1;33;4;4;4;3
4;1;34;4;1;4;4
1;1;35;4;4;2;3
4;1;36;1;1;4;3
1;1;37;4;3;3;4
3;1;38;1;2;1;1
2;1;39;3;2;3;1
2;1;40;2;4;4;2
4;1;41;2;1;3;2
1;1;42;4;2;2;2
2;1;43;1;1;2;2
1;1;44;2;1;2;2
1;1;45;1;3;4;1
3;1;46;1;1;4;2
1;1;47;3;3;3;3
3;1;48;1;2;3;1
2;1;49;3;2;2;3
2;1;50;2;1;1;2
1;1;51;2;3;4;1
3;1;52;1;1;1;1
1;1;53;3;4;2;4
4;1;54;1;2;2;2
2;1;55;4;4;3;1
4;1;56;2;3;3;2
3;1;57;4;4;4;4
4;1;58;3;4;1;3
4;1;59;4;2;1;3
2;1;60;4;2;4;1
2;1;61;2;2;1;3
2;1;62;2;4;3;2
4;1;63;2;4;2;1
4;1;64;4;3;1;3
3;1;65;4;4;2;3
4;1;66;3;3;4;1
3;1;67;4;2;1;3
2;1;68;3;3;3;2
3;1;69;2;3;2;1
3;1;70;3;2;4;1
2;1;71;3;4;3;2
4;1;72;2;4;1;1
4;1;73;4;4;2;3
4;1;74;4;3;4;3
3;1;75;4;2;2;2
2;1;76;3;2;3;2
2;1;77;2;3;3;4
3;1;78;2;2;2;2
2;1;79;3;2;4;1
2;1;80;2;4;2;2
4;1;81;2;3;4;1
3;1;82;4;1;3;4
1;1;83;3;3;4;3
3;1;84;1;1;3;1
1;1;85;3;4;2;4
4;1;86;1;3;2;1
3;1;87;4;2;1;3
2;1;88;3;2;1;1
2;1;89;2;2;1;1
2;1;90;2;2;1;2
2;1;91;2;3;3;2
3;1;92;2;3;2;2
3;1;93;3;3;1;2
3;1;94;3;4;2;4
4;1;95;3;2;2;3
2;1;96;4;2;4;4
2;1;97;2;3;1;3
3;1;98;2;4;1;2
4;1;99;3;2;1;2
2;1;100;4;3;4;4
3;1;101;2;3;2;4
3;1;102;3;4;3;1
4;1;103;3;3;1;1
3;1;104;4;4;3;2
4;1;105;3;1;4;2
1;1;106;4;4;2;1
4;1;107;1;4;4;4
4;1;108;4;3;1;2
3;1;109;4;2;3;1
2;1;110;3;1;3;2
1;1;111;2;3;4;3
3;1;112;1;2;2;4
2;1;113;3;3;3;1
3;1;114;2;1;1;2
1;1;115;3;2;2;2
2;1;116;1;2;1;4
2;1;117;2;3;3;4
3;1;118;2;3;3;2
3;1;119;3;3;3;4
3;1;120;3;2;2;4
