2;2500;50;50;true;false;true
1910;0;0;0;1601;0;1759
1601;0;1;1910;1103;0;2018
1103;0;2;1601;132;0;1223
132;0;3;1103;1666;0;365
1666;0;4;132;1374;0;550
1374;0;5;1666;1323;0;2090
1323;0;6;1374;612;0;2383
612;0;7;1323;774;0;1619
774;0;8;612;1192;0;1640
1192;0;9;774;1207;0;2183
1207;0;10;1192;652;0;1453
652;0;11;1207;852;0;1573
852;0;12;652;2428;0;2129
2428;0;13;852;1118;0;419
1118;0;14;2428;890;0;1050
890;0;15;1118;430;0;1532
430;0;16;890;325;0;1076
325;0;17;430;1778;0;1768
1778;0;18;325;1858;0;858
1858;0;19;1778;2158;0;1755
2158;0;20;1858;2463;0;464
2463;0;21;2158;2420;0;327
2420;0;22;2463;696;0;2262
696;0;23;2420;2148;0;1609
2148;0;24;696;779;0;1043
779;0;25;2148;1790;0;1041
1790;0;26;779;2321;0;715
2321;0;27;1790;1452;0;1284
1452;0;28;2321;1167;0;2245
1167;0;29;1452;893;0;350
893;0;30;1167;2126;0;30
2126;0;31;893;1861;0;828
1861;0;32;2126;1614;0;972
1614;0;33;1861;368;0;998
368;0;34;1614;1505;0;999
1505;0;35;368;413;0;10
413;0;36;1505;501;0;2178
501;0;37;413;303;0;1370
303;0;38;501;407;0;158
407;0;39;303;1569;0;429
1569;0;40;407;2369;0;811
2369;0;41;1569;1371;0;440
1371;0;42;2369;56;0;110
56;0;43;1371;545;0;2061
545;0;44;56;301;0;1978
301;0;45;545;638;0;2156
638;0;46;301;703;0;606
703;0;47;638;375;0;2182
375;0;48;703;1440;0;1515
1440;0;49;375;0;0;2223
1759;1;0;0;2018;1910;207
2018;1;1;1759;1223;1601;955
1223;1;2;2018;365;1103;732
365;1;3;1223;550;132;92
550;1;4;365;2090;1666;2280
2090;1;5;550;2383;1374;1106
2383;1;6;2090;1619;1323;1032
1619;1;7;2383;1640;612;1815
1640;1;8;1619;2183;774;1099
2183;1;9;1640;1453;1192;1798
1453;1;10;2183;1573;1207;31
1573;1;11;1453;2129;652;2259
2129;1;12;1573;419;852;2492
419;1;13;2129;1050;2428;2160
1050;1;14;419;1532;1118;1971
1532;1;15;1050;1076;890;686
1076;1;16;1532;1768;430;549
1768;1;17;1076;858;325;112
858;1;18;1768;1755;1778;739
1755;1;19;858;464;1858;1134
464;1;20;1755;327;2158;98
327;1;21;464;2262;2463;1616
2262;1;22;327;1609;2420;1355
1609;1;23;2262;1043;696;546
1043;1;24;1609;1041;2148;2241
1041;1;25;1043;715;779;1707
715;1;26;1041;1284;1790;477
1284;1;27;715;2245;2321;1998
2245;1;28;1284;350;1452;2222
350;1;29;2245;30;1167;364
30;1;30;350;828;893;1387
828;1;31;30;972;2126;1651
972;1;32;828;998;1861;938
998;1;33;972;999;1614;1484
999;1;34;998;10;368;681
10;1;35;999;2178;1505;1489
2178;1;36;10;1370;413;386
1370;1;37;2178;158;501;1258
158;1;38;1370;429;303;1081
429;1;39;158;811;407;1656
811;1;40;429;440;1569;1092
440;1;41;811;110;2369;1010
110;1;42;440;2061;1371;1954
2061;1;43;110;1978;56;488
1978;1;44;2061;2156;545;1141
2156;1;45;1978;606;301;961
606;1;46;2156;2182;638;2457
2182;1;47;606;1515;703;1052
1515;1;48;2182;2223;375;463
2223;1;49;1515;0;1440;2285
207;2;0;0;955;1759;1083
955;2;1;207;732;2018;1930
732;2;2;955;92;1223;39
92;2;3;732;2280;365;1528
2280;2;4;92;1106;550;1637
1106;2;5;2280;1032;2090;1801
1032;2;6;1106;1815;2383;1172
1815;2;7;1032;1099;1619;2122
1099;2;8;1815;1798;1640;1536
1798;2;9;1099;31;2183;855
31;2;10;1798;2259;1453;942
2259;2;11;31;2492;1573;599
2492;2;12;2259;2160;2129;1766
2160;2;13;2492;1971;419;2448
1971;2;14;2160;686;1050;1715
686;2;15;1971;549;1532;661
549;2;16;686;112;1076;2057
112;2;17;549;739;1768;1262
739;2;18;112;1134;858;1282
1134;2;19;739;98;1755;1336
98;2;20;1134;1616;464;106
1616;2;21;98;1355;327;1927
1355;2;22;1616;546;2262;529
546;2;23;1355;2241;1609;1189
2241;2;24;546;1707;1043;1147
1707;2;25;2241;477;1041;1036
477;2;26;1707;1998;715;682
1998;2;27;477;2222;1284;704
2222;2;28;1998;364;2245;1376
364;2;29;2222;1387;350;646
1387;2;30;364;1651;30;1957
1651;2;31;1387;938;828;729
938;2;32;1651;1484;972;1615
1484;2;33;938;681;998;2476
681;2;34;1484;1489;999;1819
1489;2;35;681;386;10;524
386;2;36;1489;1258;2178;1962
1258;2;37;386;1081;1370;1230
1081;2;38;1258;1656;158;2053
1656;2;39;1081;1092;429;591
1092;2;40;1656;1010;811;51
1010;2;41;1092;1954;440;366
1954;2;42;1010;488;110;593
488;2;43;1954;1141;2061;2260
1141;2;44;488;961;1978;1142
961;2;45;1141;2457;2156;1165
2457;2;46;961;1052;606;1956
1052;2;47;2457;463;2182;1803
463;2;48;1052;2285;1515;2444
2285;2;49;463;0;2223;821
1083;3;0;0;1930;207;1045
1930;3;1;1083;39;955;2398
39;3;2;1930;1528;732;789
1528;3;3;39;1637;92;2130
1637;3;4;1528;1801;2280;1202
1801;3;5;1637;1172;1106;123
1172;3;6;1801;2122;1032;1104
2122;3;7;1172;1536;1815;471
1536;3;8;2122;855;1099;172
855;3;9;1536;942;1798;2441
