1;4;77;1;false;true;true
3;0;0;0;0;0;3
3;1;0;0;0;3;2
2;2;0;0;0;3;1
1;3;0;0;0;2;2
2;4;0;0;0;1;4
4;5;0;0;0;2;4
4;6;0;0;0;4;4
4;7;0;0;0;4;4
4;8;0;0;0;4;4
4;9;0;0;0;4;1
1;10;0;0;0;4;4
4;11;0;0;0;1;4
4;12;0;0;0;4;4
4;13;0;0;0;4;1
1;14;0;0;0;4;4
4;15;0;0;0;1;2
2;16;0;0;0;4;3
3;17;0;0;0;2;1
1;18;0;0;0;3;2
2;19;0;0;0;1;3
3;20;0;0;0;2;4
4;21;0;0;0;3;1
1;22;0;0;0;4;3
3;23;0;0;0;1;2
2;24;0;0;0;3;3
3;25;0;0;0;2;1
1;26;0;0;0;3;2
2;27;0;0;0;1;4
4;28;0;0;0;2;4
4;29;0;0;0;4;4
4;30;0;0;0;4;1
1;31;0;0;0;4;1
1;32;0;0;0;1;2
2;33;0;0;0;1;3
3;34;0;0;0;2;1
1;35;0;0;0;3;4
4;36;0;0;0;1;2
2;37;0;0;0;4;2
2;38;0;0;0;2;1
1;39;0;0;0;2;3
3;40;0;0;0;1;2
2;41;0;0;0;3;4
4;42;0;0;0;2;3
3;43;0;0;0;4;4
4;44;0;0;0;3;2
2;45;0;0;0;4;3
3;46;0;0;0;2;2
2;47;0;0;0;3;3
3;48;0;0;0;2;3
3;49;0;0;0;3;4
4;50;0;0;0;3;2
2;51;0;0;0;4;4
4;52;0;0;0;2;1
1;53;0;0;0;4;3
3;54;0;0;0;1;2
2;55;0;0;0;3;1
1;56;0;0;0;2;4
4;57;0;0;0;1;1
1;58;0;0;0;4;3
3;59;0;0;0;1;2
2;60;0;0;0;3;2
2;61;0;0;0;2;4
4;62;0;0;0;2;1
1;63;0;0;0;4;2
2;64;0;0;0;1;4
4;65;0;0;0;2;2
2;66;0;0;0;4;3
3;67;0;0;0;2;2
2;68;0;0;0;3;1
1;69;0;0;0;2;2
2;70;0;0;0;1;1
1;71;0;0;0;2;1
1;72;0;0;0;1;3
3;73;0;0;0;1;3
3;74;0;0;0;3;1
1;75;0;0;0;3;4
4;76;0;0;0;1;0
